cond,day,file,fov,latCV_S.o,biomass_S.o,latCV_A.n,biomass_A.n,latCV_Vd/Vp,biomass_Vd/Vp,latCV_F.n,biomass_F.n,latCV_P.g,biomass_P.g,FnPg_patch_M1,FnPg_3d_M1
DH,1,241203_HOBIC24_5Spezies_FISH_Tag1,2,0.5254688858985901,1000267.4375,0.3267253637313843,948615.625,1.3277572393417358,503170.8125,0.6056172847747803,460768.46875,1.303043007850647,202589.734375,0.999617338180542,0.9643229246139526
DH,1,241203_HOBIC24_5Spezies_FISH_Tag1,3,0.5936288833618164,624957.0,0.274583101272583,1098639.125,1.1424901485443115,507005.84375,0.41517898440361023,619895.4375,0.9937483668327332,315241.3125,0.9999621510505676,0.8763018250465393
DH,1,241203_HOBIC24_5Spezies_FISH_Tag1,4,0.4269507825374603,1041818.625,0.30267730355262756,1076473.5,1.3597304821014404,603596.625,0.5336328744888306,463247.40625,0.8206478357315063,358153.125,0.9996345639228821,0.8353207111358643
DH,1,241203_HOBIC24_5Spezies_FISH_Tag1,5,0.3638114929199219,1494222.875,0.3056122660636902,887653.8125,1.0136924982070923,559716.1875,0.34666764736175537,588183.1875,1.1485294103622437,169500.140625,1.0000001192092896,1.0000001192092896
DH,1,241203_HOBIC24_5Spezies_FISH_Tag1,6,0.5873149633407593,686437.75,0.28736183047294617,1035647.875,1.5005974769592285,388309.03125,0.44651657342910767,587480.3125,0.9031928181648254,323905.0625,0.9998776912689209,0.8794562816619873
DH,6,241018_HOBIC24_5Spezies_FISH,0,0.33784085512161255,601832.4375,0.35186800360679626,839436.3125,0.3776389956474304,680683.0625,0.4543760418891907,266095.6875,0.3798074722290039,827695.0625,0.9991061091423035,0.24235525727272034
DH,6,241018_HOBIC24_5Spezies_FISH,13,0.3276180624961853,793961.5,0.29742196202278137,926663.5,0.34263160824775696,914632.4375,0.4522302746772766,253409.6875,0.4704824984073639,523831.15625,0.9996496438980103,0.30491405725479126
DH,6,241018_HOBIC24_5Spezies_FISH,14,0.24082216620445251,2519163.0,0.1934642195701599,2857975.0,0.23577481508255005,2865328.0,0.2787044942378998,746734.6875,0.32617196440696716,1632327.125,1.0,0.2883262634277344
DH,10,241018_HOBIC24_5Spezies_FISH,3,0.30409666895866394,903245.75,0.35324791073799133,979248.8125,0.389875203371048,1030410.6875,0.3406141400337219,488111.875,0.3807491958141327,878660.375,1.0,0.27096375823020935
DH,10,241018_HOBIC24_5Spezies_FISH,15,0.31494298577308655,859612.125,0.3228897154331207,997853.75,0.30601489543914795,1084916.5,0.356727659702301,400442.78125,0.39211198687553406,827216.1875,1.0,0.19621334969997406
DH,10,241018_HOBIC24_5Spezies_FISH,16,0.31104129552841187,855215.375,0.31153494119644165,980723.9375,0.30386608839035034,1057993.75,0.3647558391094208,384560.875,0.39194613695144653,780698.875,1.0,0.2021087110042572
DH,15,241018_HOBIC24_5Spezies_FISH,1,0.4338141679763794,418955.125,0.35658586025238037,930585.625,0.2540159523487091,1066270.625,0.29632097482681274,617329.6875,0.3390911817550659,810145.25,1.0,0.4191226065158844
DH,15,241018_HOBIC24_5Spezies_FISH,17,0.34535765647888184,691261.3125,0.2810855805873871,987248.875,0.2908262014389038,988720.625,0.32015806436538696,424388.5,0.3457089066505432,769125.8125,1.0,0.22756172716617584
DH,21,241018_HOBIC24_5Spezies_FISH,2,0.34078288078308105,820236.75,0.30516505241394043,1102297.0,0.3032374978065491,1145731.375,0.26606234908103943,616286.5,0.32139337062835693,1088472.5,1.0,0.2776196300983429
DH,21,241018_HOBIC24_5Spezies_FISH,18,0.41568756103515625,714666.5625,0.32389432191848755,957345.3125,0.25483018159866333,1215188.125,0.3105933368206024,446292.40625,0.408532977104187,759481.5,1.0,0.38546857237815857
